model,smote,calibration,auroc_oof,auroc_ci_low,auroc_ci_high,auprc_diabetic_vs_rest_oof,brier_oof,ece_diabetic_vs_rest_oof,cal_slope_diabetic_vs_rest,cal_intercept_diabetic_vs_rest,accuracy_oof,f1_oof,log_loss_oof
rf,False,sigmoid,0.8877058301103963,,,0.967275922826348,0.35596114046239324,0.030558847302367697,1.3013079581270672,0.12344061338080219,0.72975,0.7294812404642831,0.5778001449905092
rf,True,sigmoid,0.8877058301103963,,,0.967275922826348,0.35596114046239324,0.030558847302367697,1.3013079581270672,0.12344061338080219,0.72975,0.7294812404642831,0.5778001449905092
logreg,False,sigmoid,0.8048272346886066,,,0.9226084800594749,0.45497117759329603,0.042435547194221525,1.3717202793639036,0.19544847449327793,0.5974,0.5887911474959827,0.7279323260556801
logreg,True,sigmoid,0.8048272346886066,,,0.9226084800594749,0.45497117759329603,0.042435547194221525,1.3717202793639036,0.19544847449327793,0.5974,0.5887911474959827,0.7279323260556801
