model,smote,calibration,auroc_oof,auroc_ci_low,auroc_ci_high,auprc_oof,brier_oof,ece_oof,cal_slope,cal_intercept,accuracy_oof,f1_oof,log_loss_oof
rf,False,sigmoid,0.6738797821281373,0.6519941412340758,0.6957654230221982,0.4018120830838758,0.1780639632166459,0.010983660710676937,0.9728703151458756,-0.0640798360972351,0.7424666666666667,0.16960447119518487,0.5352669409982341
rf,False,isotonic,0.6734766166548349,0.651609288606562,0.6953439447031081,0.40080365952811114,0.17830210917225917,0.010378341442828534,0.9021985110216032,-0.13608411242232002,0.7408666666666667,0.21538150989099716,0.5354739630151616
rf,True,sigmoid,0.6730309452511032,0.6511394189116849,0.6949224715905212,0.4013608665195699,0.17808756181814367,0.006849415397877443,0.9870574815475504,-0.04991889907063581,0.7419333333333333,0.14130434782608695,0.5354760366609322
rf,True,isotonic,0.6729249443109385,0.6510472239524194,0.6948026646694576,0.40063364854299377,0.17832965911255058,0.00910664976105057,0.9088217278071009,-0.13115877004454085,0.7398,0.20622330689444784,0.5357793868792174
logreg,False,sigmoid,0.659359903605435,0.6371208334117995,0.6815989737990704,0.3864614615700125,0.18060731140879183,0.011034192142112688,0.8825532523107873,-0.16425485792188677,0.7385333333333334,0.16178670656123104,0.5427662691708043
logreg,True,sigmoid,0.6593243805021626,0.6370954099215375,0.6815533510827877,0.38659355499576575,0.18059735323470272,0.010883756011997186,0.8830671467519858,-0.1629498621578451,0.7386,0.16235847041230506,0.5427539119847877
logreg,True,isotonic,0.6585043535868438,0.636277602403693,0.6807311047699943,0.38434116742225244,0.18154233392528665,0.01586001751208955,0.7679737438496066,-0.28202988600406687,0.7333666666666666,0.22901204819277107,0.5480256160439834
logreg,False,isotonic,0.6583779348368718,0.6361400084299228,0.6806158612438206,0.3842392123056853,0.1815031539143001,0.016933761391575732,0.7612948732930378,-0.2890555556142517,0.7342,0.23824990447076805,0.5500359407101739
